Potential_temperature_C,Practical_salinity,Potential_density_anomaly_kgm3,Pressure_decibar,Serial_date_number_base_date_1_January_0000,Longitude,Latitude,Bottom_Depth_m
1.924578344,34.87464012,27.88027918,1767.5,731961,-36.50833333,63.555,1784
1.881568778,34.8806914,27.88851734,1767.4,731962,-36.50833333,63.555,1784
2.233429372,34.89357963,27.87040941,1767.4,731963,-36.50833333,63.555,1784
2.184343263,34.86688044,27.85309976,1766.8,731964,-36.50833333,63.555,1784
1.692435288,34.90105453,27.91947494,1766.4,731965,-36.50833333,63.555,1784
2.213481854,34.89644859,27.87435855,1766.4,731966,-36.50833333,63.555,1784
1.61367732,34.87529338,27.90477713,1765.7,731967,-36.50833333,63.555,1784
1.520122179,34.88778794,27.92177534,1766.1,731968,-36.50833333,63.555,1784
1.797396064,34.87445452,27.8900854,1765.8,731969,-36.50833333,63.555,1784
1.416616043,34.87414052,27.91841126,1766.2,731970,-36.50833333,63.555,1784
1.702970297,34.86406759,27.88901709,1766.8,731971,-36.50833333,63.555,1784
1.480091956,34.88247043,27.92046052,1767.5,731972,-36.50833333,63.555,1784
2.247267576,34.87546743,27.85476607,1767.7,731973,-36.50833333,63.555,1784
1.76435022,34.84927106,27.87245337,1768.1,731974,-36.50833333,63.555,1784
1.329806689,34.88757116,27.9354498,1767.4,731975,-36.50833333,63.555,1784
1.420954256,34.87612515,27.91968948,1767.4,731976,-36.50833333,63.555,1784
1.883797034,34.8694608,27.87934379,1767.1,731977,-36.50833333,63.555,1784
1.960759974,34.85993491,27.86563022,1767,731978,-36.50833333,63.555,1784
2.003184067,34.83049212,27.83866566,1766.7,731979,-36.50833333,63.555,1784
2.118355756,34.84396648,27.84016106,1766.5,731980,-36.50833333,63.555,1784
2.203744321,34.86044951,27.84635299,1766.2,731981,-36.50833333,63.555,1784
1.934334575,34.87938752,27.88330948,1766.2,731982,-36.50833333,63.555,1784
1.96001881,34.83890573,27.8488446,1767.2,731983,-36.50833333,63.555,1784
1.997961465,34.86944608,27.87028128,1766.4,731984,-36.50833333,63.555,1784
1.979581967,34.84862667,27.85507395,1766.4,731985,-36.50833333,63.555,1784
1.655517442,34.84063105,27.87382735,1766.7,731986,-36.50833333,63.555,1784
1.5528898,34.82108054,27.86583335,1767.1,731987,-36.50833333,63.555,1784
1.50322697,34.86544313,27.90509622,1767.4,731988,-36.50833333,63.555,1784
1.620349247,34.86957467,27.89969008,1767.6,731989,-36.50833333,63.555,1784
1.574037959,34.85255482,27.88950754,1767.8,731990,-36.50833333,63.555,1784
1.612996784,34.82338013,27.86319438,1767.6,731991,-36.50833333,63.555,1784
1.515835674,34.83781694,27.88200178,1767.4,731992,-36.50833333,63.555,1784
